movieId,title,genres,cast,keywords,popularity,rating,poster,mood,Industry
10196,The Last Airbender (2010),Action|Adventure|Fantasy,Noah Ringer|Dev Patel|Nicola Peltz Beckham,fire|kingdom|war ship|village|prince|arrest|based on cartoon|attack|air|spirit|domination|cheering|burlesque|disapproving|disdainful|forceful,4.1628,4.644,https://image.tmdb.org/t/p/w500/kl9JJ8288bNsY8oqT1SpQh1w2mb.jpg,Epic/Myth,ANIME
37786,Sex and the City 2 (2010),Comedy|Drama|Romance,Sarah Jessica Parker|Kim Cattrall|Kristin Davis,"female friendship|vacation|travel|gay marriage|american abroad|manhattan, new york city|united arab emirates|former lovers|abu dhabi",4.1012,6.1,https://image.tmdb.org/t/p/w500/iHSRxhZsPaVuLCivvV6WEkMVGWU.jpg,Feel-Good,HOLLYWOOD
30618,Bunraku (2010),Thriller|Action|Drama,Josh Hartnett|Demi Moore|Woody Harrelson,bartender|revenge|drifter|uncle nephew relationship,4.7235,5.8,https://image.tmdb.org/t/p/w500/6VG9XFig4djqZEEot3PGGWeIpkf.jpg,Adrenaline,HOLLYWOOD
45317,The Fighter (2010),Drama,Mark Wahlberg|Christian Bale|Amy Adams,sports|irish-american|boxer|biography|family business |dysfunctional family|family conflict|hometown|boxing trainer|crack addict|lowell massachusetts|jumping rope|shadow boxing|boxing|boxer hero|professional athlete|black sheep|devoted girlfriend|local hero,3.9906,7.381,https://image.tmdb.org/t/p/w500/xfsFerGhO1h6rLk8vwLgMyQ8WVJ.jpg,Romantic,HOLLYWOOD
44683,Tinker Bell and the Great Fairy Rescue (2010),Animation|Adventure|Family|Fantasy,Mae Whitman|Lauren Mote|Michael Sheen,"rescue|london, england|countryside|flying|parent child relationship|magic|fairy tale|fairy|vacation|friends|growing up|summer|scientist|father daughter conflict|tinkerbell",4.0187,6.8,https://image.tmdb.org/t/p/w500/cb7PrVIYbwIadQqWxgSU6CGHJjj.jpg,Epic/Myth,HOLLYWOOD
19901,Daybreakers (2010),Action|Fantasy|Science Fiction,Ethan Hawke|Sam Neill|Willem Dafoe,experiment|sunrise|waitress|vampire|dystopia|rain|sunlight|undead|scientist|epidemic|death|dead|urban gothic|brutal deaths|hopeful,4.378,6.3,https://image.tmdb.org/t/p/w500/xFZH2l9UOyIclk2ZFWNHQ38B2RP.jpg,Epic/Myth,HOLLYWOOD
28211,Chloe (2010),Drama|Thriller|Mystery,Amanda Seyfried|Julianne Moore|Liam Neeson,"toronto, canada|remake|playing piano|suspicious wife|absurd",4.3198,6.1,https://image.tmdb.org/t/p/w500/7VC7Q7GvIhEECIU3fiaRf71mxV6.jpg,Dark,HOLLYWOOD
44040,Devil (2010),Horror|Mystery|Thriller,Chris Messina|Bojana Novaković|Jenny O'Hara,supernatural|murder|devil|trapped|sole survivor|flickering light|lights out|trapped in an elevator|broken elevator|elevator|supernatural horror|suspense|killer among us|stuck in elevator,4.4202,6.1,https://image.tmdb.org/t/p/w500/aivXPSi53H95BoUa5njEYso389s.jpg,Dark,HOLLYWOOD
46146,Troll Hunter (2010),Fantasy|Horror,Otto Jespersen|Glenn Erland Tosterud|Johanna Mørck,hunter|cave|mountain|wilderness|forest|woods|mockumentary|secret government organization|hunting trip|wildlife|conspiracy|troll|cryptozoology|found footage|norse mythology|aftercreditsstinger|folk horror|bear hunters|norwegian folklore|pseudo-documentary|pov,3.7222,6.706,https://image.tmdb.org/t/p/w500/v2W5NEz0p9jPFzbbYt0dP86gsOX.jpg,Epic/Myth,HOLLYWOOD
34016,She's Out of My League (2010),Romance|Comedy,Jay Baruchel|Alice Eve|T.J. Miller,"airport|ex-boyfriend|ex-girlfriend|sarcasm|birthday party|dating|falling in love|insecurity|airport security|rating|group of friends|opposites attract|unlikely lovers|low self esteem|duringcreditsstinger|eccentric family|pittsburgh, pennsylvania|air show|party planner|hot girl|nice guy|pittsburgh penguins|gorgeous blonde|ex-girlfriend comes back|romantic|meeting the parents",4.1141,6.5,https://image.tmdb.org/t/p/w500/mpYHjyPX0DAxbsnWKmSK5jZ1s4T.jpg,Feel-Good,HOLLYWOOD
